Institute,Sector,Positive,Negative,Score,Final Score
De Rooi Pannen,"Sectorunit voedsel, groen en gastvrijheid",0.0,8.0,0.99609375,Positive
Scholings Trainings en Opleidings Centrum STOC B.V.,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
SintLucas,Sectorunit creatieve industrie en ICT,0.0,2.0,0.75,Positive
Smink Culinair,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Stichting Beroepsopleiding Procesindustrie (BEPRO),Bovensectoraal,0.0,1.0,0.5,Positive
Stichting Beroepsopleiding Procesindustrie (BEPRO),Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Stichting De Nederlandse Fotovakschool,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC TOP,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC TOP,Sectorunit handel,0.0,3.0,0.875,Positive
ROC TOP,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ROC TOP,"Sectorunit zorg, welzijn en sport",6.0,0.0,-1.0,Negative
Stichting Vakopleiding Techniek,Sectorunit techniek en gebouwde omgeving,1.0,1.0,0.25,Negative
Summa College,Sectorunit handel,0.0,2.0,0.75,Positive
Summa College,Sectorunit techniek en gebouwde omgeving,2.0,2.0,0.25,Negative
Summa College,Sectorunit zakelijke dienstverlening en veiligheid,2.0,0.0,0.0,Negative
Summa College,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
Supplement B.V.,"Sectorunit zorg, welzijn en sport",2.0,0.0,0.0,Negative
Terra opleidingen B.V.,"Sectorunit voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
AOC Terra,"Sectorunit voedsel, groen en gastvrijheid",1.0,5.0,0.71875,Positive
Tio,Sectorunit handel,0.0,2.0,0.75,Positive
Trainings- en buitensportcentrum De Voshaar,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
VAKschool Pedagogisch Werk B.V.,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
VIBO Groep VOF,"Sectorunit mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
Variva Opleidingen,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
Veneberg Beveiligings Opl.,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Wellantcollege,Bovensectoraal,1.0,1.0,0.25,Negative
Wellantcollege,"Sectorunit voedsel, groen en gastvrijheid",6.0,7.0,-0.5078125,Negative
ROC Zadkine,Bovensectoraal,0.0,1.0,0.5,Positive
ROC Zadkine,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Zadkine,Sectorunit handel,0.0,2.0,0.75,Positive
ROC Zadkine,"Sectorunit mobiliteit, transport, logistiek, maritiem",5.0,0.0,-0.75,Negative
ROC Zadkine,Sectorunit techniek en gebouwde omgeving,2.0,9.0,0.498046875,Negative
ROC Zadkine,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
ROC Zadkine,Sectorunit zakelijke dienstverlening en veiligheid,0.0,8.0,0.99609375,Positive
ROC Zadkine,"Sectorunit zorg, welzijn en sport",1.0,5.0,0.71875,Positive
Zorg en Werk Academy,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Zorgcampus Rotterdam,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Zorgcollege,"Sectorunit zorg, welzijn en sport",1.0,1.0,0.25,Negative
